#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
DO9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
DQ0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DQ1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DQ2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DQ3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DQ4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
DQ5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DQ6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DQ7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DQ8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DQ9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
DZ0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DZ1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DZ2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DZ3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DZ4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
DZ5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DZ6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DZ7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DZ8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DZ9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
F0Ia,10.80,228000.00,258.00,7967.00,0.18,-8.50,-0.15,-8.65
F0Ia0,12.60,274000.00,283.00,7967.00,0.18,-8.70,-0.15,-8.85
F0Ib,8.90,9960.00,54.00,7967.00,0.18,-5.10,-0.15,-5.25
F0II,7.10,870.00,18.50,7400.00,0.30,-2.50,-0.10,-2.60
F0III,5.30,21.90,2.93,7400.00,0.30,1.50,-0.10,1.40
F0IV,3.40,11.50,2.12,7400.00,0.30,2.20,-0.10,2.10
F0V,1.60,7.94,1.77,7400.00,0.30,2.60,-0.10,2.50
F0VI,1.40,2.40,0.97,7400.00,0.30,3.90,-0.10,3.80
F1Ia,10.30,224000.00,269.00,7773.00,0.22,-8.50,-0.13,-8.63
F1Ia0,12.10,296000.00,309.00,7773.00,0.22,-8.80,-0.13,-8.93
F1Ib,8.60,9790.00,56.20,7773.00,0.22,-5.10,-0.13,-5.23
F1II,6.80,865.00,19.20,7260.00,0.33,-2.50,-0.09,-2.59
F1III,5.10,21.70,3.04,7260.00,0.33,1.50,-0.09,1.41
F1IV,3.30,12.50,2.30,7260.00,0.33,2.10,-0.09,2.01
F1V,1.60,6.56,1.67,7260.00,0.33,2.80,-0.09,2.71
F1VI,1.30,1.98,0.92,7260.00,0.33,4.10,-0.09,4.01
F2Ia,9.90,202000.00,268.00,7580.00,0.26,-8.40,-0.11,-8.51
F2Ia0,11.60,291000.00,323.00,7580.00,0.26,-8.80,-0.11,-8.91
F2Ib,8.20,8800.00,56.10,7580.00,0.26,-5.00,-0.11,-5.11
F2II,6.50,860.00,19.90,7120.00,0.36,-2.50,-0.09,-2.59
F2III,4.90,19.70,3.01,7120.00,0.36,1.60,-0.09,1.51
F2IV,3.20,14.90,2.62,7120.00,0.36,1.90,-0.09,1.81
F2V,1.50,5.95,1.65,7120.00,0.36,2.90,-0.09,2.81
F2VI,1.30,1.64,0.87,7120.00,0.36,4.30,-0.09,4.21
F3Ia,9.40,199000.00,281.00,7387.00,0.30,-8.40,-0.10,-8.50
F3Ia0,11.00,316000.00,354.00,7387.00,0.30,-8.90,-0.10,-9.00
F3Ib,7.90,8700.00,58.70,7387.00,0.30,-5.00,-0.10,-5.10
F3II,6.30,782.00,19.70,6980.00,0.39,-2.40,-0.08,-2.48
F3III,4.70,19.60,3.12,6980.00,0.39,1.60,-0.08,1.52
F3IV,3.10,16.30,2.85,6980.00,0.39,1.80,-0.08,1.72
F3V,1.50,4.94,1.57,6980.00,0.39,3.10,-0.08,3.02
F3VI,1.20,1.49,0.86,6980.00,0.39,4.40,-0.08,4.32
F4Ia,9.00,180000.00,282.00,7193.00,0.34,-8.30,-0.09,-8.39
F4Ia0,10.50,343000.00,389.00,7193.00,0.34,-9.00,-0.09,-9.09
F4Ib,7.50,7860.00,58.90,7193.00,0.34,-4.90,-0.09,-4.99
F4II,6.00,781.00,20.50,6840.00,0.42,-2.40,-0.08,-2.48
F4III,4.50,19.60,3.25,6840.00,0.42,1.60,-0.08,1.52
F4IV,3.00,19.60,3.25,6840.00,0.42,1.60,-0.08,1.52
F4V,1.40,4.50,1.56,6840.00,0.42,3.20,-0.08,3.12
F4VI,1.10,1.24,0.82,6840.00,0.42,4.60,-0.08,4.52
F5Ia,8.60,163000.00,283.00,7000.00,0.39,-8.20,-0.08,-8.28
F5Ia0,10.00,374000.00,429.00,7000.00,0.39,-9.10,-0.08,-9.18
F5Ib,7.10,7820.00,62.00,7000.00,0.39,-4.90,-0.08,-4.98
F5II,5.70,783.00,21.40,6700.00,0.46,-2.40,-0.08,-2.48
F5III,4.30,21.60,3.55,6700.00,0.46,1.50,-0.08,1.42
F5IV,2.80,21.60,3.55,6700.00,0.46,1.50,-0.08,1.42
F5V,1.40,3.75,1.48,6700.00,0.46,3.40,-0.08,3.32
F5VI,1.10,1.03,0.78,6700.00,0.46,4.80,-0.08,4.72
F6Ia,8.60,149000.00,290.00,6760.00,0.44,-8.10,-0.08,-8.18
F6Ia0,10.00,374000.00,460.00,6760.00,0.44,-9.10,-0.08,-9.18
F6Ib,7.10,7820.00,66.40,6760.00,0.44,-4.90,-0.08,-4.98
F6II,5.70,786.00,22.40,6560.00,0.49,-2.40,-0.09,-2.49
F6III,4.20,23.70,3.89,6560.00,0.49,1.40,-0.09,1.31
F6IV,2.80,16.40,3.23,6560.00,0.49,1.80,-0.09,1.71
F6V,1.30,3.13,1.41,6560.00,0.49,3.60,-0.09,3.51
F6VI,1.00,0.86,0.74,6560.00,0.49,5.00,-0.09,4.91
F7Ia,8.50,137000.00,299.00,6520.00,0.50,-8.00,-0.09,-8.09
F7Ia0,10.00,413000.00,519.00,6520.00,0.50,-9.20,-0.09,-9.29
F7Ib,7.10,7180.00,68.40,6520.00,0.50,-4.80,-0.09,-4.89
F7II,5.60,791.00,23.40,6420.00,0.52,-2.40,-0.10,-2.50
F7III,4.20,26.20,4.26,6420.00,0.52,1.30,-0.10,1.20
F7IV,2.70,12.50,2.95,6420.00,0.52,2.10,-0.10,2.00
F7V,1.30,2.62,1.35,6420.00,0.52,3.80,-0.10,3.70
F7VI,1.00,0.79,0.74,6420.00,0.52,5.10,-0.10,5.00
F8Ia,8.50,127000.00,310.00,6280.00,0.56,-7.90,-0.11,-8.01
F8Ia0,10.00,419000.00,564.00,6280.00,0.56,-9.20,-0.11,-9.31
F8Ib,7.10,7290.00,74.30,6280.00,0.56,-4.80,-0.11,-4.91
F8II,5.60,729.00,23.50,6280.00,0.56,-2.30,-0.11,-2.41
F8III,4.10,29.00,4.69,6280.00,0.56,1.20,-0.11,1.09
F8IV,2.70,10.50,2.83,6280.00,0.56,2.30,-0.11,2.19
F8V,1.20,2.41,1.35,6280.00,0.56,3.90,-0.11,3.79
F8VI,1.00,0.67,0.71,6280.00,0.56,5.30,-0.11,5.19
F9Ia,8.50,130000.00,343.00,6011.00,0.63,-7.90,-0.14,-8.04
F9Ia0,10.00,473000.00,654.00,6011.00,0.63,-9.30,-0.14,-9.44
F9Ib,7.00,6840.00,78.60,6011.00,0.63,-4.70,-0.14,-4.84
F9II,5.60,739.00,24.80,6140.00,0.60,-2.30,-0.12,-2.42
F9III,4.10,32.20,5.17,6140.00,0.60,1.10,-0.12,0.98
F9IV,2.60,8.10,2.59,6140.00,0.60,2.60,-0.12,2.48
F9V,1.10,2.03,1.30,6140.00,0.60,4.10,-0.12,3.98
F9VI,0.90,0.61,0.71,6140.00,0.60,5.40,-0.12,5.28
G0Ia,6.30,124000.00,367.00,5743.00,0.70,-7.80,-0.19,-7.99
G0Ia0,10.00,495000.00,732.00,5743.00,0.70,-9.30,-0.19,-9.49
G0Ib,2.50,7150.00,88.10,5743.00,0.70,-4.70,-0.19,-4.89
G0II,2.10,784.00,29.20,5743.00,0.70,-2.30,-0.19,-2.49
G0III,1.80,37.50,6.38,5743.00,0.70,1.00,-0.19,0.81
G0IV,1.40,6.25,2.38,6000.00,0.63,2.90,-0.14,2.76
G0V,1.10,1.72,1.25,6000.00,0.63,4.30,-0.14,4.16
G0VI,0.90,0.52,0.69,6000.00,0.63,5.60,-0.14,5.46
G1Ia,6.60,132000.00,417.00,5474.00,0.78,-7.80,-0.25,-8.05
G1Ia0,10.50,527000.00,832.00,5474.00,0.78,-9.30,-0.25,-9.55
G1Ib,2.60,7620.00,100.00,5474.00,0.78,-4.70,-0.25,-4.95
G1II,2.20,835.00,33.10,5474.00,0.78,-2.30,-0.25,-2.55
G1III,1.80,43.80,7.59,5474.00,0.78,0.90,-0.25,0.65
G1IV,1.40,6.35,2.50,5890.00,0.66,2.90,-0.16,2.74
G1V,1.00,1.46,1.19,5890.00,0.66,4.50,-0.16,4.34
G1VI,0.90,0.44,0.66,5890.00,0.66,5.80,-0.16,5.64
G2Ia,6.90,131000.00,459.00,5206.00,0.86,-7.70,-0.35,-8.05
G2Ia0,11.00,573000.00,959.00,5206.00,0.86,-9.30,-0.35,-9.65
G2Ib,2.80,8290.00,115.00,5206.00,0.86,-4.70,-0.35,-5.05
G2II,2.30,909.00,38.20,5206.00,0.86,-2.30,-0.35,-2.65
G2III,1.90,52.30,9.16,5206.00,0.86,0.80,-0.35,0.45
G2IV,1.40,6.48,2.62,5780.00,0.69,2.90,-0.18,2.72
G2V,1.00,1.23,1.14,5780.00,0.69,4.70,-0.18,4.52
G2VI,0.90,0.37,0.63,5780.00,0.69,6.00,-0.18,5.82
G3Ia,7.20,147000.00,540.00,4937.00,0.94,-7.70,-0.47,-8.17
G3Ia0,11.50,703000.00,1180.00,4937.00,0.94,-9.40,-0.47,-9.87
G3Ib,2.90,8460.00,130.00,4937.00,0.94,-4.60,-0.47,-5.07
G3II,2.40,1110.00,47.00,4937.00,0.94,-2.40,-0.47,-2.87
G3III,1.90,70.30,11.80,4937.00,0.94,0.60,-0.47,0.13
G3IV,1.50,6.04,2.63,5670.00,0.72,3.00,-0.20,2.80
G3V,1.00,1.15,1.15,5670.00,0.72,4.80,-0.20,4.60
G3VI,0.80,0.35,0.63,5670.00,0.72,6.10,-0.20,5.90
G4Ia,7.50,170000.00,649.00,4669.00,1.03,-7.70,-0.62,-8.32
G4Ia0,12.00,813000.00,1420.00,4669.00,1.03,-9.40,-0.62,-10.02
G4Ib,3.00,9770.00,156.00,4669.00,1.03,-4.60,-0.62,-5.22
G4II,2.50,1290.00,56.50,4669.00,1.03,-2.40,-0.62,-3.02
G4III,2.00,89.10,14.90,4669.00,1.03,0.50,-0.62,-0.12
G4IV,1.50,6.20,2.76,5560.00,0.75,3.00,-0.23,2.77
G4V,0.90,0.98,1.10,5560.00,0.75,5.00,-0.23,4.77
G4VI,0.80,0.30,0.61,5560.00,0.75,6.30,-0.23,6.07
G5Ia,7.80,186000.00,766.00,4400.00,1.13,-7.60,-0.83,-8.43
G5Ia0,12.50,1070000.00,1840.00,4400.00,1.13,-9.50,-0.83,-10.33
G5Ib,3.20,11800.00,192.00,4400.00,1.13,-4.60,-0.83,-5.43
G5II,2.60,1550.00,69.90,4400.00,1.13,-2.40,-0.83,-3.23
G5III,2.00,118.00,19.20,4400.00,1.13,0.40,-0.83,-0.43
G5IV,1.50,6.38,2.92,5450.00,0.79,3.00,-0.26,2.74
G5V,0.90,0.84,1.06,5450.00,0.79,5.20,-0.26,4.94
G5VI,0.80,0.25,0.58,5450.00,0.79,6.50,-0.26,6.24
G6Ia,7.90,195000.00,804.00,4343.00,1.15,-7.60,-0.88,-8.48
G6Ia0,12.50,1120000.00,1930.00,4343.00,1.15,-9.50,-0.88,-10.38
G6Ib,3.30,12300.00,202.00,4343.00,1.15,-4.60,-0.88,-5.48
G6II,2.70,1620.00,73.30,4343.00,1.15,-2.40,-0.88,-3.28
G6III,2.10,123.00,20.20,4343.00,1.15,0.40,-0.88,-0.48
G6IV,1.50,6.59,3.09,5340.00,0.82,3.00,-0.30,2.70
G6V,0.90,0.79,1.07,5340.00,0.82,5.30,-0.30,5.00
G6VI,0.80,0.22,0.56,5340.00,0.82,6.70,-0.30,6.40
G7Ia,8.00,205000.00,846.00,4286.00,1.17,-7.60,-0.93,-8.53
G7Ia0,12.50,1180000.00,2030.00,4286.00,1.17,-9.50,-0.93,-10.43
G7Ib,3.50,12900.00,212.00,4286.00,1.17,-4.60,-0.93,-5.53
G7II,2.80,1700.00,77.10,4286.00,1.17,-2.40,-0.93,-3.33
G7III,2.20,129.00,21.20,4286.00,1.17,0.40,-0.93,-0.53
G7IV,1.50,6.84,3.28,5230.00,0.85,3.00,-0.34,2.66
G7V,0.90,0.68,1.04,5230.00,0.85,5.50,-0.34,5.16
G7VI,0.70,0.21,0.57,5230.00,0.85,6.80,-0.34,6.46
G8Ia,8.10,196000.00,851.00,4229.00,1.19,-7.50,-0.98,-8.48
G8Ia0,12.50,1130000.00,2040.00,4229.00,1.19,-9.40,-0.98,-10.38
G8Ib,3.60,14900.00,234.00,4229.00,1.19,-4.70,-0.98,-5.68
G8II,2.90,1960.00,85.10,4229.00,1.19,-2.50,-0.98,-3.48
G8III,2.20,124.00,21.40,4229.00,1.19,0.50,-0.98,-0.48
G8IV,1.50,6.50,3.34,5120.00,0.89,3.10,-0.38,2.72
G8V,0.80,0.65,1.06,5120.00,0.89,5.60,-0.38,5.22
G8VI,0.70,0.18,0.55,5120.00,0.89,7.00,-0.38,6.62
G9Ia,8.10,207000.00,898.00,4171.00,1.21,-7.50,-1.04,-8.54
G9Ia0,12.50,1190000.00,2160.00,4171.00,1.21,-9.40,-1.04,-10.44
G9Ib,3.80,15700.00,247.00,4171.00,1.21,-4.70,-1.04,-5.74
G9II,3.00,2070.00,89.80,4171.00,1.21,-2.50,-1.04,-3.54
G9III,2.30,131.00,22.60,4171.00,1.21,0.50,-1.04,-0.54
G9IV,1.60,6.80,3.57,5010.00,0.92,3.10,-0.43,2.67
G9V,0.80,0.57,1.03,5010.00,0.92,5.80,-0.43,5.37
G9VI,0.70,0.17,0.57,5010.00,0.92,7.10,-0.43,6.67
K0Ia,8.20,219000.00,950.00,4114.00,1.24,-7.50,-1.10,-8.60
K0Ia0,12.50,1260000.00,2280.00,4114.00,1.24,-9.40,-1.10,-10.50
K0Ib,3.90,16600.00,262.00,4114.00,1.24,-4.70,-1.10,-5.80
K0II,3.10,2190.00,95.00,4114.00,1.24,-2.50,-1.10,-3.60
K0III,2.30,138.00,23.90,4114.00,1.24,0.50,-1.10,-0.60
K0IV,1.60,7.16,3.83,4900.00,0.96,3.10,-0.49,2.61
K0V,0.80,0.54,1.05,4900.00,0.96,5.90,-0.49,5.41
K0VI,0.70,0.15,0.55,4900.00,0.96,7.30,-0.49,6.81
K1Ia,8.30,212000.00,960.00,4057.00,1.26,-7.40,-1.17,-8.57
K1Ia0,12.50,1220000.00,2300.00,4057.00,1.26,-9.30,-1.17,-10.47
K1Ib,4.10,17600.00,277.00,4057.00,1.26,-4.70,-1.17,-5.87
K1II,3.30,2320.00,101.00,4057.00,1.26,-2.50,-1.17,-3.67
K1III,2.40,161.00,26.40,4057.00,1.26,0.40,-1.17,-0.77
K1IV,1.60,7.71,4.21,4760.00,1.00,3.10,-0.57,2.53
K1V,0.80,0.44,1.01,4760.00,1.00,6.20,-0.57,5.63
K1VI,0.60,0.13,0.56,4760.00,1.00,7.50,-0.57,6.93
K2Ia,8.80,225000.00,1020.00,4000.00,1.28,-7.40,-1.23,-8.63
K2Ia0,13.30,1300000.00,2440.00,4000.00,1.28,-9.30,-1.23,-10.53
K2Ib,4.30,20600.00,308.00,4000.00,1.28,-4.80,-1.23,-6.03
K2II,3.40,2470.00,107.00,4000.00,1.28,-2.50,-1.23,-3.73
K2III,2.50,206.00,30.80,4000.00,1.28,0.20,-1.23,-1.03
K2IV,1.60,8.38,4.66,4620.00,1.05,3.10,-0.66,2.44
K2V,0.70,0.40,1.02,4620.00,1.05,6.40,-0.66,5.74
K2VI,0.60,0.12,0.56,4620.00,1.05,7.70,-0.66,7.04
K3Ia,9.40,253000.00,1140.00,3900.00,1.32,-7.40,-1.36,-8.76
K3Ia0,14.20,1460000.00,2720.00,3900.00,1.32,-9.30,-1.36,-10.66
K3Ib,4.60,25300.00,359.00,3900.00,1.32,-4.90,-1.36,-6.26
K3II,3.60,2770.00,119.00,3900.00,1.32,-2.50,-1.36,-3.86
K3III,2.60,253.00,35.90,3900.00,1.32,0.10,-1.36,-1.26
K3IV,1.70,9.22,5.19,4480.00,1.10,3.10,-0.76,2.34
K3V,0.70,0.34,0.99,4480.00,1.10,6.70,-0.76,5.94
K3VI,0.60,0.10,0.54,4480.00,1.10,8.00,-0.76,7.24
K4Ia,9.90,262000.00,1220.00,3800.00,1.36,-7.30,-1.50,-8.80
K4Ia0,15.00,1650000.00,3060.00,3800.00,1.36,-9.30,-1.50,-10.80
K4Ib,4.80,31500.00,422.00,3800.00,1.36,-5.00,-1.50,-6.50
K4II,3.80,3150.00,133.00,3800.00,1.36,-2.50,-1.50,-4.00
K4III,2.70,345.00,44.20,3800.00,1.36,-0.10,-1.50,-1.60
K4IV,1.70,10.30,5.84,4340.00,1.15,3.10,-0.88,2.22
K4V,0.70,0.31,1.02,4340.00,1.15,6.90,-0.88,6.02
K4VI,0.50,0.09,0.56,4340.00,1.15,8.20,-0.88,7.32
K5Ia,10.40,301000.00,1380.00,3700.00,1.41,-7.30,-1.65,-8.95
K5Ia0,15.80,1900000.00,3460.00,3700.00,1.41,-9.30,-1.65,-10.95
K5Ib,5.00,39600.00,499.00,3700.00,1.41,-5.10,-1.65,-6.75
K5II,3.90,3620.00,151.00,3700.00,1.41,-2.50,-1.65,-4.15
K5III,2.80,435.00,52.30,3700.00,1.41,-0.20,-1.65,-1.85
K5IV,1.80,10.60,6.33,4200.00,1.20,3.20,-1.01,2.19
K5V,0.70,0.27,1.00,4200.00,1.20,7.20,-1.01,6.19
K5VI,0.50,0.09,0.58,4200.00,1.20,8.40,-1.01,7.39
K6Ia,10.60,294000.00,1350.00,3717.00,1.40,-7.30,-1.62,-8.92
K6Ia0,15.80,1850000.00,3380.00,3717.00,1.40,-9.30,-1.62,-10.92
K6Ib,5.30,42400.00,512.00,3717.00,1.40,-5.20,-1.62,-6.82
K6II,4.20,3530.00,148.00,3717.00,1.40,-2.50,-1.62,-4.12
K6III,3.00,465.00,53.60,3717.00,1.40,-0.30,-1.62,-1.92
K6IV,1.80,12.20,7.26,4060.00,1.26,3.20,-1.16,2.04
K6V,0.60,0.21,0.96,4060.00,1.26,7.60,-1.16,6.44
K6VI,0.50,0.08,0.58,4060.00,1.26,8.70,-1.16,7.54
K7Ia,10.70,262000.00,1260.00,3733.00,1.39,-7.20,-1.59,-8.79
K7Ia0,15.80,1810000.00,3320.00,3733.00,1.39,-9.30,-1.59,-10.89
K7Ib,5.70,45500.00,526.00,3733.00,1.39,-5.30,-1.59,-6.89
K7II,4.40,3450.00,145.00,3733.00,1.39,-2.50,-1.59,-4.09
K7III,3.10,499.00,55.00,3733.00,1.39,-0.40,-1.59,-1.99
K7IV,1.90,14.20,8.43,3920.00,1.31,3.20,-1.33,1.87
K7V,0.60,0.19,0.97,3920.00,1.31,7.90,-1.33,6.57
K7VI,0.40,0.07,0.58,3920.00,1.31,9.00,-1.33,7.67
K8Ia,10.90,256000.00,1230.00,3750.00,1.38,-7.20,-1.57,-8.77
K8Ia0,15.80,1770000.00,3250.00,3750.00,1.38,-9.30,-1.57,-10.87
K8Ib,6.00,44400.00,515.00,3750.00,1.38,-5.30,-1.57,-6.87
K8II,4.60,3690.00,148.00,3750.00,1.38,-2.60,-1.57,-4.17
K8III,3.30,534.00,56.40,3750.00,1.38,-0.50,-1.57,-2.07
K8IV,1.90,17.00,9.90,3780.00,1.37,3.20,-1.52,1.68
K8V,0.60,0.16,0.95,3780.00,1.37,8.30,-1.52,6.78
K8VI,0.30,0.06,0.57,3780.00,1.37,9.40,-1.52,7.88
K9Ia,11.10,265000.00,1270.00,3725.00,1.39,-7.20,-1.61,-8.81
K9Ia0,15.80,1830000.00,3350.00,3725.00,1.39,-9.30,-1.61,-10.91
K9Ib,6.30,50400.00,556.00,3725.00,1.39,-5.40,-1.61,-7.01
K9II,4.90,3830.00,153.00,3725.00,1.39,-2.60,-1.61,-4.21
K9III,3.40,606.00,60.90,3725.00,1.39,-0.60,-1.61,-2.21
K9IV,2.00,20.70,11.80,3640.00,1.43,3.20,-1.74,1.46
K9V,0.50,0.14,0.98,3640.00,1.43,8.60,-1.74,6.86
K9VI,0.30,0.04,0.54,3640.00,1.43,9.90,-1.74,8.16
M0Ia,13.30,274000.00,1310.00,3700.00,1.41,-7.20,-1.65,-8.85
M0Ia0,15.80,1900000.00,3460.00,3700.00,1.41,-9.30,-1.65,-10.95
M0Ib,10.70,57300.00,600.00,3700.00,1.41,-5.50,-1.65,-7.15
M0II,8.20,3960.00,158.00,3700.00,1.41,-2.60,-1.65,-4.25
M0III,5.60,689.00,65.80,3700.00,1.41,-0.70,-1.65,-2.35
M0IV,3.10,26.00,14.30,3500.00,1.49,3.20,-1.99,1.21
M0V,0.50,0.13,0.99,3500.00,1.49,9.00,-1.99,7.01
M0VI,0.20,0.04,0.54,3500.00,1.49,10.30,-1.99,8.31
M1Ia,12.70,337000.00,1620.00,3510.00,1.49,-7.10,-1.97,-9.07
M1Ia0,15.10,2560000.00,4460.00,3510.00,1.49,-9.30,-1.97,-11.27
M1Ib,10.20,77300.00,775.00,3510.00,1.49,-5.50,-1.97,-7.47
M1II,7.80,5860.00,213.00,3510.00,1.49,-2.70,-1.97,-4.67
M1III,5.30,929.00,85.00,3510.00,1.49,-0.70,-1.97,-2.67
M1IV,2.90,35.50,18.40,3333.00,1.57,3.20,-2.33,0.87
M1V,0.50,0.06,0.77,3333.00,1.57,10.10,-2.33,7.77
M1VI,0.20,0.02,0.42,3333.00,1.57,11.40,-2.33,9.07
M2Ia,12.10,481000.00,2160.00,3320.00,1.58,-7.10,-2.36,-9.46
M2Ia0,14.50,3650000.00,5950.00,3320.00,1.58,-9.30,-2.36,-11.66
M2Ib,9.80,110000.00,1030.00,3320.00,1.58,-5.50,-2.36,-7.86
M2II,7.40,8360.00,285.00,3320.00,1.58,-2.70,-2.36,-5.06
M2III,5.10,1210.00,108.00,3320.00,1.58,-0.60,-2.36,-2.96
M2IV,2.70,50.90,24.40,3167.00,1.65,3.20,-2.72,0.48
M2V,0.40,0.03,0.61,3167.00,1.65,11.20,-2.72,8.48
M2VI,0.20,0.01,0.32,3167.00,1.65,12.60,-2.72,9.88
M3Ia,11.60,733000.00,3000.00,3130.00,1.67,-7.10,-2.81,-9.91
M3Ia0,13.80,5070000.00,7890.00,3130.00,1.67,-9.20,-2.81,-12.01
M3Ib,9.30,168000.00,1440.00,3130.00,1.67,-5.50,-2.81,-8.31
M3II,7.10,14000.00,414.00,3130.00,1.67,-2.80,-2.81,-5.61
M3III,4.80,1840.00,150.00,3130.00,1.67,-0.60,-2.81,-3.41
