#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
M3IV,2.60,77.60,33.60,3000.00,1.74,3.20,-3.18,0.02
M3V,0.30,0.02,0.51,3000.00,1.74,12.30,-3.18,9.12
M3VI,0.20,0.00,0.27,3000.00,1.74,13.70,-3.18,10.52
M4Ia,11.00,1100000.00,4180.00,2940.00,1.77,-7.00,-3.36,-10.36
M4Ia0,13.20,8380000.00,11500.00,2940.00,1.77,-9.20,-3.36,-12.56
M4Ib,8.90,277000.00,2090.00,2940.00,1.77,-5.50,-3.36,-8.86
M4II,6.70,23100.00,604.00,2940.00,1.77,-2.80,-3.36,-6.16
M4III,4.60,2770.00,209.00,2940.00,1.77,-0.50,-3.36,-3.86
M4IV,2.40,127.00,48.30,2833.00,1.83,3.20,-3.71,-0.51
M4V,0.30,0.01,0.44,2833.00,1.83,13.40,-3.71,9.69
M4VI,0.10,0.00,0.22,2833.00,1.83,14.90,-3.71,11.19
M5Ia,10.50,2020000.00,6450.00,2750.00,1.88,-7.00,-4.01,-11.01
M5Ia0,12.50,15300000.00,17800.00,2750.00,1.88,-9.20,-4.01,-13.21
M5Ib,8.40,507000.00,3230.00,2750.00,1.88,-5.50,-4.01,-9.51
M5II,6.40,46200.00,976.00,2750.00,1.88,-2.90,-4.01,-6.91
M5III,4.30,5070.00,323.00,2750.00,1.88,-0.50,-4.01,-4.51
M5IV,2.30,207.00,69.40,2667.00,1.93,3.30,-4.34,-1.04
M5V,0.20,0.01,0.38,2667.00,1.93,14.60,-4.34,10.26
M5VI,0.10,0.00,0.20,2667.00,1.93,16.00,-4.34,11.66
M6Ia,10.30,4170000.00,10700.00,2560.00,2.00,-7.00,-4.80,-11.80
M6Ia0,12.40,28800000.00,28100.00,2560.00,2.00,-9.10,-4.80,-13.90
M6Ib,8.30,955000.00,5120.00,2560.00,2.00,-5.40,-4.80,-10.20
M6II,6.30,95500.00,1620.00,2560.00,2.00,-2.90,-4.80,-7.70
M6III,4.20,9550.00,512.00,2560.00,2.00,-0.40,-4.80,-5.20
M6IV,2.20,410.00,111.00,2500.00,2.03,3.30,-5.08,-1.78
M6V,0.20,0.00,0.37,2500.00,2.03,15.70,-5.08,10.62
M6VI,0.10,0.00,0.22,2500.00,2.03,16.80,-5.08,11.72
M7Ia,10.20,9180000.00,18500.00,2370.00,2.12,-6.90,-5.76,-12.66
M7Ia0,12.30,69600000.00,51000.00,2370.00,2.12,-9.10,-5.76,-14.86
M7Ib,8.20,2100000.00,8870.00,2370.00,2.12,-5.30,-5.76,-11.06
M7II,6.20,253000.00,3070.00,2370.00,2.12,-3.00,-5.76,-8.76
M7III,4.20,21000.00,887.00,2370.00,2.12,-0.30,-5.76,-6.06
M7IV,2.10,926.00,192.00,2333.00,2.14,3.30,-5.97,-2.67
M7V,0.10,0.00,0.38,2333.00,2.14,16.80,-5.97,10.83
M7VI,0.10,0.00,0.28,2333.00,2.14,17.50,-5.97,11.53
M8Ia,10.10,27000000.00,37600.00,2180.00,2.25,-6.90,-6.93,-13.83
M8Ia0,12.10,205000000.00,103000.00,2180.00,2.25,-9.10,-6.93,-16.03
M8Ib,8.10,5150000.00,16400.00,2180.00,2.25,-5.10,-6.93,-12.03
M8II,6.10,744000.00,6230.00,2180.00,2.25,-3.00,-6.93,-9.93
M8III,4.10,51500.00,1640.00,2180.00,2.25,-0.10,-6.93,-7.03
M8IV,2.10,2440.00,361.00,2167.00,2.26,3.30,-7.02,-3.72
M8V,0.10,0.00,0.43,2167.00,2.26,17.90,-7.02,10.88
M8VI,0.10,0.00,0.36,2167.00,2.26,18.30,-7.02,11.28
M9Ia,10.00,103000000.00,87900.00,1990.00,2.40,-6.90,-8.38,-15.28
M9Ia0,12.00,711000000.00,231000.00,1990.00,2.40,-9.00,-8.38,-17.38
M9Ib,8.00,17900000.00,36700.00,1990.00,2.40,-5.00,-8.38,-13.38
M9II,6.00,2830000.00,14600.00,1990.00,2.40,-3.00,-8.38,-11.38
M9III,4.10,179000.00,3670.00,1990.00,2.40,0.00,-8.38,-8.38
M9IV,2.10,7910.00,764.00,2000.00,2.39,3.30,-8.30,-5.00
M9V,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
M9VI,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
N0Ia,13.30,274000.00,1310.00,3700.00,1.41,-7.20,-1.65,-8.85
N0Ia0,15.80,1900000.00,3460.00,3700.00,1.41,-9.30,-1.65,-10.95
N0Ib,10.70,57300.00,600.00,3700.00,1.41,-5.50,-1.65,-7.15
N0II,8.20,3960.00,158.00,3700.00,1.41,-2.60,-1.65,-4.25
N0III,5.60,689.00,65.80,3700.00,1.41,-0.70,-1.65,-2.35
N0IV,3.10,26.00,14.30,3500.00,1.49,3.20,-1.99,1.21
N0V,0.50,0.13,0.99,3500.00,1.49,9.00,-1.99,7.01
N0VI,0.20,0.04,0.54,3500.00,1.49,10.30,-1.99,8.31
N1Ia,12.70,337000.00,1620.00,3510.00,1.49,-7.10,-1.97,-9.07
N1Ia0,15.10,2560000.00,4460.00,3510.00,1.49,-9.30,-1.97,-11.27
N1Ib,10.20,77300.00,775.00,3510.00,1.49,-5.50,-1.97,-7.47
N1II,7.80,5860.00,213.00,3510.00,1.49,-2.70,-1.97,-4.67
N1III,5.30,929.00,85.00,3510.00,1.49,-0.70,-1.97,-2.67
N1IV,2.90,35.50,18.40,3333.00,1.57,3.20,-2.33,0.87
N1V,0.50,0.06,0.77,3333.00,1.57,10.10,-2.33,7.77
N1VI,0.20,0.02,0.42,3333.00,1.57,11.40,-2.33,9.07
N2Ia,12.10,481000.00,2160.00,3320.00,1.58,-7.10,-2.36,-9.46
N2Ia0,14.50,3650000.00,5950.00,3320.00,1.58,-9.30,-2.36,-11.66
N2Ib,9.80,110000.00,1030.00,3320.00,1.58,-5.50,-2.36,-7.86
N2II,7.40,8360.00,285.00,3320.00,1.58,-2.70,-2.36,-5.06
N2III,5.10,1210.00,108.00,3320.00,1.58,-0.60,-2.36,-2.96
N2IV,2.70,50.90,24.40,3167.00,1.65,3.20,-2.72,0.48
N2V,0.40,0.03,0.61,3167.00,1.65,11.20,-2.72,8.48
N2VI,0.20,0.01,0.32,3167.00,1.65,12.60,-2.72,9.88
N3Ia,11.60,733000.00,3000.00,3130.00,1.67,-7.10,-2.81,-9.91
N3Ia0,13.80,5070000.00,7890.00,3130.00,1.67,-9.20,-2.81,-12.01
N3Ib,9.30,168000.00,1440.00,3130.00,1.67,-5.50,-2.81,-8.31
N3II,7.10,14000.00,414.00,3130.00,1.67,-2.80,-2.81,-5.61
N3III,4.80,1840.00,150.00,3130.00,1.67,-0.60,-2.81,-3.41
N3IV,2.60,77.60,33.60,3000.00,1.74,3.20,-3.18,0.02
N3V,0.30,0.02,0.51,3000.00,1.74,12.30,-3.18,9.12
N3VI,0.20,0.00,0.27,3000.00,1.74,13.70,-3.18,10.52
N4Ia,11.00,1100000.00,4180.00,2940.00,1.77,-7.00,-3.36,-10.36
N4Ia0,13.20,8380000.00,11500.00,2940.00,1.77,-9.20,-3.36,-12.56
N4Ib,8.90,277000.00,2090.00,2940.00,1.77,-5.50,-3.36,-8.86
N4II,6.70,23100.00,604.00,2940.00,1.77,-2.80,-3.36,-6.16
N4III,4.60,2770.00,209.00,2940.00,1.77,-0.50,-3.36,-3.86
N4IV,2.40,127.00,48.30,2833.00,1.83,3.20,-3.71,-0.51
N4V,0.30,0.01,0.44,2833.00,1.83,13.40,-3.71,9.69
N4VI,0.10,0.00,0.22,2833.00,1.83,14.90,-3.71,11.19
N5Ia,10.50,2020000.00,6450.00,2750.00,1.88,-7.00,-4.01,-11.01
N5Ia0,12.50,15300000.00,17800.00,2750.00,1.88,-9.20,-4.01,-13.21
N5Ib,8.40,507000.00,3230.00,2750.00,1.88,-5.50,-4.01,-9.51
N5II,6.40,46200.00,976.00,2750.00,1.88,-2.90,-4.01,-6.91
N5III,4.30,5070.00,323.00,2750.00,1.88,-0.50,-4.01,-4.51
N5IV,2.30,207.00,69.40,2667.00,1.93,3.30,-4.34,-1.04
N5V,0.20,0.01,0.38,2667.00,1.93,14.60,-4.34,10.26
N5VI,0.10,0.00,0.20,2667.00,1.93,16.00,-4.34,11.66
N6Ia,10.30,4170000.00,10700.00,2560.00,2.00,-7.00,-4.80,-11.80
N6Ia0,12.40,28800000.00,28100.00,2560.00,2.00,-9.10,-4.80,-13.90
N6Ib,8.30,955000.00,5120.00,2560.00,2.00,-5.40,-4.80,-10.20
N6II,6.30,95500.00,1620.00,2560.00,2.00,-2.90,-4.80,-7.70
N6III,4.20,9550.00,512.00,2560.00,2.00,-0.40,-4.80,-5.20
N6IV,2.20,410.00,111.00,2500.00,2.03,3.30,-5.08,-1.78
N6V,0.20,0.00,0.37,2500.00,2.03,15.70,-5.08,10.62
N6VI,0.10,0.00,0.22,2500.00,2.03,16.80,-5.08,11.72
N7Ia,10.20,9180000.00,18500.00,2370.00,2.12,-6.90,-5.76,-12.66
N7Ia0,12.30,69600000.00,51000.00,2370.00,2.12,-9.10,-5.76,-14.86
N7Ib,8.20,2100000.00,8870.00,2370.00,2.12,-5.30,-5.76,-11.06
N7II,6.20,253000.00,3070.00,2370.00,2.12,-3.00,-5.76,-8.76
N7III,4.20,21000.00,887.00,2370.00,2.12,-0.30,-5.76,-6.06
N7IV,2.10,926.00,192.00,2333.00,2.14,3.30,-5.97,-2.67
N7V,0.10,0.00,0.38,2333.00,2.14,16.80,-5.97,10.83
N7VI,0.10,0.00,0.28,2333.00,2.14,17.50,-5.97,11.53
N8Ia,10.10,27000000.00,37600.00,2180.00,2.25,-6.90,-6.93,-13.83
N8Ia0,12.10,205000000.00,103000.00,2180.00,2.25,-9.10,-6.93,-16.03
N8Ib,8.10,5150000.00,16400.00,2180.00,2.25,-5.10,-6.93,-12.03
N8II,6.10,744000.00,6230.00,2180.00,2.25,-3.00,-6.93,-9.93
N8III,4.10,51500.00,1640.00,2180.00,2.25,-0.10,-6.93,-7.03
N8IV,2.10,2440.00,361.00,2167.00,2.26,3.30,-7.02,-3.72
N8V,0.10,0.00,0.43,2167.00,2.26,17.90,-7.02,10.88
N8VI,0.10,0.00,0.36,2167.00,2.26,18.30,-7.02,11.28
N9Ia,10.00,103000000.00,87900.00,1990.00,2.40,-6.90,-8.38,-15.28
N9Ia0,12.00,711000000.00,231000.00,1990.00,2.40,-9.00,-8.38,-17.38
N9Ib,8.00,17900000.00,36700.00,1990.00,2.40,-5.00,-8.38,-13.38
N9II,6.00,2830000.00,14600.00,1990.00,2.40,-3.00,-8.38,-11.38
N9III,4.10,179000.00,3670.00,1990.00,2.40,0.00,-8.38,-8.38
N9IV,2.10,7910.00,764.00,2000.00,2.39,3.30,-8.30,-5.00
N9V,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
N9VI,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
O0Ia,150.00,2590000.00,22.10,50000.00,-0.35,-6.70,-4.58,-11.28
O0Ia0,160.00,34100000.00,80.20,50000.00,-0.35,-9.50,-4.58,-14.08
O0Ib,140.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
O0II,130.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
O0III,120.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
O0IV,110.00,1360000.00,16.00,50000.00,-0.35,-6.00,-4.58,-10.58
O0V,100.00,1240000.00,15.30,50000.00,-0.35,-5.90,-4.58,-10.48
O0VI,60.00,940000.00,13.30,50000.00,-0.35,-5.60,-4.58,-10.18
O1Ia,149.30,2250000.00,22.70,47600.00,-0.35,-6.70,-4.43,-11.13
O1Ia0,159.70,27100000.00,78.80,47600.00,-0.35,-9.40,-4.43,-13.83
O1Ib,139.00,1870000.00,20.70,47600.00,-0.35,-6.50,-4.43,-10.93
O1II,128.60,1730000.00,19.80,47800.00,-0.35,-6.40,-4.44,-10.84
O1III,118.20,1580000.00,18.90,47800.00,-0.35,-6.30,-4.44,-10.74
O1IV,107.90,1090000.00,15.70,47800.00,-0.35,-5.90,-4.44,-10.34
O1V,97.50,994000.00,15.00,47800.00,-0.35,-5.80,-4.44,-10.24
O1VI,37.00,754000.00,13.10,47800.00,-0.35,-5.50,-4.44,-9.94
O2Ia,148.60,2140000.00,24.60,45200.00,-0.35,-6.80,-4.28,-11.08
O2Ia0,159.40,21400000.00,77.70,45200.00,-0.35,-9.30,-4.28,-13.58
O2Ib,137.90,1620000.00,21.40,45200.00,-0.35,-6.50,-4.28,-10.78
O2II,127.20,1520000.00,20.30,45600.00,-0.35,-6.40,-4.30,-10.70
O2III,116.50,1260000.00,18.50,45600.00,-0.35,-6.20,-4.30,-10.50
O2IV,105.70,872000.00,15.40,45600.00,-0.35,-5.80,-4.30,-10.10
O2V,95.00,795000.00,14.70,45600.00,-0.35,-5.70,-4.30,-10.00
O2VI,30.00,603000.00,12.80,45600.00,-0.35,-5.40,-4.30,-9.70
O3Ia,148.00,1850000.00,25.50,42800.00,-0.34,-6.80,-4.12,-10.92
O3Ia0,159.00,16800000.00,76.90,42800.00,-0.34,-9.20,-4.12,-13.32
O3Ib,136.90,1400000.00,22.20,42800.00,-0.34,-6.50,-4.12,-10.62
O3II,125.80,1210000.00,20.00,43400.00,-0.34,-6.30,-4.16,-10.46
O3III,114.70,917000.00,17.50,43400.00,-0.34,-6.00,-4.16,-10.16
O3IV,103.60,696000.00,15.20,43400.00,-0.34,-5.70,-4.16,-9.86
O3V,92.50,634000.00,14.50,43400.00,-0.34,-5.60,-4.16,-9.76
O3VI,23.00,481000.00,12.60,43400.00,-0.34,-5.30,-4.16,-9.46
O4Ia,147.30,1740000.00,27.70,40400.00,-0.33,-6.90,-3.95,-10.85
O4Ia0,158.70,13200000.00,76.40,40400.00,-0.33,-9.10,-3.95,-13.05
O4Ib,135.80,1200000.00,23.10,40400.00,-0.33,-6.50,-3.95,-10.45
O4II,124.40,960000.00,19.80,41200.00,-0.34,-6.20,-4.01,-10.21
O4III,112.90,728000.00,17.30,41200.00,-0.34,-5.90,-4.01,-9.91
O4IV,101.50,552000.00,15.00,41200.00,-0.34,-5.60,-4.01,-9.61
O4V,90.00,504000.00,14.40,41200.00,-0.34,-5.50,-4.01,-9.51
O4VI,20.00,382000.00,12.50,41200.00,-0.34,-5.20,-4.01,-9.21
O5Ia,142.00,1480000.00,29.00,38000.00,-0.33,-6.90,-3.78,-10.68
O5Ia0,158.40,10300000.00,76.20,38000.00,-0.33,-9.00,-3.78,-12.78
O5Ib,125.60,1030000.00,24.10,38000.00,-0.33,-6.50,-3.78,-10.28
O5II,109.20,759000.00,19.70,39000.00,-0.33,-6.10,-3.85,-9.95
O5III,92.80,525000.00,16.40,39000.00,-0.33,-5.70,-3.85,-9.55
O5IV,76.40,437000.00,14.90,39000.00,-0.33,-5.50,-3.85,-9.35
O5V,60.00,398000.00,14.20,39000.00,-0.33,-5.40,-3.85,-9.25
O5VI,17.50,302000.00,12.40,39000.00,-0.33,-5.10,-3.85,-8.95
O6Ia,120.10,1360000.00,31.90,35400.00,-0.32,-7.00,-3.58,-10.58
O6Ia0,136.70,7810000.00,76.60,35400.00,-0.32,-8.90,-3.58,-12.48
O6Ib,103.50,781000.00,24.20,35400.00,-0.32,-6.40,-3.58,-9.98
O6II,86.90,654000.00,20.50,36800.00,-0.32,-6.10,-3.69,-9.79
O6III,70.20,376000.00,15.60,36800.00,-0.32,-5.50,-3.69,-9.19
O6IV,53.60,313000.00,14.20,36800.00,-0.32,-5.30,-3.69,-8.99
O6V,37.00,260000.00,12.90,36800.00,-0.32,-5.10,-3.69,-8.79
O6VI,14.20,180000.00,10.80,36800.00,-0.32,-4.70,-3.69,-8.39
O7Ia,100.90,1120000.00,33.80,32800.00,-0.31,-7.00,-3.37,-10.37
O7Ia0,115.10,5880000.00,77.40,32800.00,-0.31,-8.80,-3.37,-12.17
O7Ib,86.70,588000.00,24.50,32800.00,-0.31,-6.30,-3.37,-9.67
O7II,72.50,510000.00,20.50,34600.00,-0.32,-6.00,-3.52,-9.52
O7III,58.40,294000.00,15.50,34600.00,-0.32,-5.40,-3.52,-8.92
O7IV,44.20,223000.00,13.50,34600.00,-0.32,-5.10,-3.52,-8.62
O7V,30.00,154000.00,11.30,34600.00,-0.32,-4.70,-3.52,-8.22
O7VI,10.90,107000.00,9.36,34600.00,-0.32,-4.30,-3.52,-7.82
O8Ia,81.70,913000.00,36.00,30200.00,-0.30,-7.00,-3.15,-10.15
O8Ia0,93.40,4370000.00,78.70,30200.00,-0.30,-8.70,-3.15,-11.85
O8Ib,69.90,437000.00,24.90,30200.00,-0.30,-6.20,-3.15,-9.35
O8II,58.20,360000.00,19.60,32400.00,-0.31,-5.80,-3.34,-9.14
O8III,46.50,207000.00,14.90,32400.00,-0.31,-5.20,-3.34,-8.54
O8IV,34.70,157000.00,13.00,32400.00,-0.31,-4.90,-3.34,-8.24
O8V,23.00,99100.00,10.30,32400.00,-0.31,-4.40,-3.34,-7.74
O8VI,7.60,57000.00,7.81,32400.00,-0.31,-3.80,-3.34,-7.14
O9Ia,63.10,731000.00,38.50,27600.00,-0.29,-7.00,-2.91,-9.91
O9Ia0,71.80,3190000.00,80.50,27600.00,-0.29,-8.60,-2.91,-11.51
O9Ib,54.50,319000.00,25.50,27600.00,-0.29,-6.10,-2.91,-9.01
O9II,45.90,276000.00,19.80,30200.00,-0.30,-5.70,-3.15,-8.85
O9III,37.30,159000.00,15.00,30200.00,-0.30,-5.10,-3.15,-8.25
O9IV,28.60,110000.00,12.50,30200.00,-0.30,-4.70,-3.15,-7.85
O9V,20.00,57600.00,9.04,30200.00,-0.30,-4.00,-3.15,-7.15
O9VI,6.70,33100.00,6.85,30200.00,-0.30,-3.40,-3.15,-6.55
R0Ia,10.20,170000.00,649.00,4669.00,1.03,-7.70,-0.62,-8.32
R0Ia0,12.00,813000.00,1420.00,4669.00,1.03,-9.40,-0.62,-10.02
R0Ib,8.30,9770.00,156.00,4669.00,1.03,-4.60,-0.62,-5.22
R0II,6.50,1290.00,56.50,4669.00,1.03,-2.40,-0.62,-3.02
R0III,4.60,89.10,14.90,4669.00,1.03,0.50,-0.62,-0.12
R0IV,2.80,6.20,2.76,5560.00,0.75,3.00,-0.23,2.77
R0V,0.90,0.98,1.10,5560.00,0.75,5.00,-0.23,4.77
R0VI,0.80,0.30,0.61,5560.00,0.75,6.30,-0.23,6.07
R1Ia,10.50,166000.00,672.00,4561.00,1.07,-7.60,-0.70,-8.30
R1Ia0,12.40,871000.00,1540.00,4561.00,1.07,-9.40,-0.70,-10.10
R1Ib,8.60,10500.00,169.00,4561.00,1.07,-4.60,-0.70,-5.30
R1II,6.70,1380.00,61.30,4561.00,1.07,-2.40,-0.70,-3.10
R1III,4.70,105.00,16.90,4561.00,1.07,0.40,-0.70,-0.30
R1IV,2.80,6.61,3.11,5331.00,0.82,3.00,-0.30,2.70
R1V,0.90,0.79,1.08,5331.00,0.82,5.30,-0.30,5.00
R1VI,0.70,0.22,0.57,5331.00,0.82,6.70,-0.30,6.40
R2Ia,10.80,179000.00,733.00,4453.00,1.11,-7.60,-0.78,-8.38
R2Ia0,12.80,940000.00,1680.00,4453.00,1.11,-9.40,-0.78,-10.18
R2Ib,8.80,12400.00,193.00,4453.00,1.11,-4.70,-0.78,-5.48
R2II,6.80,1490.00,66.80,4453.00,1.11,-2.40,-0.78,-3.18
R2III,4.80,136.00,20.20,4453.00,1.11,0.20,-0.78,-0.58
R2IV,2.80,7.17,3.53,5102.00,0.89,3.00,-0.39,2.61
R2V,0.80,0.65,1.07,5102.00,0.89,5.60,-0.39,5.21
R2VI,0.70,0.18,0.56,5102.00,0.89,7.00,-0.39,6.61
R3Ia,11.20,178000.00,766.00,4346.00,1.15,-7.50,-0.87,-8.37
R3Ia0,13.30,932000.00,1750.00,4346.00,1.15,-9.30,-0.87,-10.17
R3Ib,9.10,13500.00,211.00,4346.00,1.15,-4.70,-0.87,-5.57
R3II,7.00,1780.00,76.60,4346.00,1.15,-2.50,-0.87,-3.37
R3III,5.00,162.00,23.10,4346.00,1.15,0.10,-0.87,-0.77
R3IV,2.90,7.26,3.90,4873.00,0.97,3.10,-0.50,2.60
R3V,0.80,0.55,1.07,4873.00,0.97,5.90,-0.50,5.40
R3VI,0.60,0.15,0.56,4873.00,0.97,7.30,-0.50,6.80
R4Ia,11.50,195000.00,844.00,4238.00,1.19,-7.50,-0.97,-8.47
R4Ia0,13.70,1020000.00,1930.00,4238.00,1.19,-9.30,-0.97,-10.27
R4Ib,9.40,16200.00,243.00,4238.00,1.19,-4.80,-0.97,-5.77
R4II,7.20,1950.00,84.40,4238.00,1.19,-2.50,-0.97,-3.47
R4III,5.10,195.00,26.70,4238.00,1.19,0.00,-0.97,-0.97
R4IV,2.90,8.25,4.57,4644.00,1.04,3.10,-0.64,2.46
R4V,0.80,0.52,1.15,4644.00,1.04,6.10,-0.64,5.46
R4VI,0.60,0.12,0.55,4644.00,1.04,7.70,-0.64,7.06
R5Ia,11.90,197000.00,893.00,4130.00,1.23,-7.40,-1.08,-8.48
R5Ia0,14.10,1130000.00,2140.00,4130.00,1.23,-9.30,-1.08,-10.38
R5Ib,9.60,21600.00,296.00,4130.00,1.23,-5.00,-1.08,-6.08
R5II,7.40,2160.00,93.50,4130.00,1.23,-2.50,-1.08,-3.58
R5III,5.20,259.00,32.40,4130.00,1.23,-0.20,-1.08,-1.28
R5IV,2.90,9.67,5.47,4416.00,1.12,3.10,-0.81,2.29
R5V,0.70,0.46,1.20,4416.00,1.12,6.40,-0.81,5.59
R5VI,0.50,0.09,0.52,4416.00,1.12,8.20,-0.81,7.39
R6Ia,12.20,220000.00,995.00,4023.00,1.27,-7.40,-1.20,-8.60
R6Ia0,14.50,1260000.00,2390.00,4023.00,1.27,-9.30,-1.20,-10.50
R6Ib,9.90,31800.00,378.00,4023.00,1.27,-5.30,-1.20,-6.50
R6II,7.60,2410.00,104.00,4023.00,1.27,-2.50,-1.20,-3.70
R6III,5.30,318.00,37.80,4023.00,1.27,-0.30,-1.20,-1.50
R6IV,3.00,11.70,6.71,4187.00,1.21,3.10,-1.02,2.08
R6V,0.70,0.43,1.28,4187.00,1.21,6.70,-1.02,5.68
R6VI,0.40,0.07,0.51,4187.00,1.21,8.70,-1.02,7.68
R7Ia,12.60,227000.00,1070.00,3915.00,1.32,-7.30,-1.34,-8.64
R7Ia0,15.00,1430000.00,2680.00,3915.00,1.32,-9.30,-1.34,-10.64
R7Ib,10.20,39400.00,445.00,3915.00,1.32,-5.40,-1.34,-6.74
