#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
R7II,7.80,2990.00,122.00,3915.00,1.32,-2.60,-1.34,-3.94
R7III,5.40,394.00,44.50,3915.00,1.32,-0.40,-1.34,-1.74
R7IV,3.00,13.60,8.08,3958.00,1.30,3.20,-1.28,1.92
R7V,0.60,0.26,1.12,3958.00,1.30,7.50,-1.28,6.22
R7VI,0.40,0.05,0.47,3958.00,1.30,9.40,-1.28,8.12
R8Ia,12.90,259000.00,1210.00,3808.00,1.36,-7.30,-1.48,-8.78
R8Ia0,15.40,1640000.00,3030.00,3808.00,1.36,-9.30,-1.48,-10.78
R8Ib,10.40,45000.00,503.00,3808.00,1.36,-5.40,-1.48,-6.88
R8II,8.00,3420.00,138.00,3808.00,1.36,-2.60,-1.48,-4.08
R8III,5.50,541.00,55.10,3808.00,1.36,-0.60,-1.48,-2.08
R8IV,3.00,18.20,10.50,3729.00,1.39,3.20,-1.60,1.60
R8V,0.60,0.18,1.05,3729.00,1.39,8.20,-1.60,6.60
R8VI,0.30,0.04,0.48,3729.00,1.39,9.90,-1.60,8.30
R9Ia,13.30,274000.00,1310.00,3700.00,1.41,-7.20,-1.65,-8.85
R9Ia0,15.80,1900000.00,3460.00,3700.00,1.41,-9.30,-1.65,-10.95
R9Ib,10.70,57300.00,600.00,3700.00,1.41,-5.50,-1.65,-7.15
R9II,8.20,3960.00,158.00,3700.00,1.41,-2.60,-1.65,-4.25
R9III,5.60,689.00,65.80,3700.00,1.41,-0.70,-1.65,-2.35
R9IV,3.10,26.00,14.30,3500.00,1.49,3.20,-1.99,1.21
R9V,0.50,0.13,0.99,3500.00,1.49,9.00,-1.99,7.01
R9VI,0.20,0.04,0.54,3500.00,1.49,10.30,-1.99,8.31
S0Ia,13.30,274000.00,1310.00,3700.00,1.41,-7.20,-1.65,-8.85
S0Ia0,15.80,1900000.00,3460.00,3700.00,1.41,-9.30,-1.65,-10.95
S0Ib,10.70,57300.00,600.00,3700.00,1.41,-5.50,-1.65,-7.15
S0II,8.20,3960.00,158.00,3700.00,1.41,-2.60,-1.65,-4.25
S0III,5.60,689.00,65.80,3700.00,1.41,-0.70,-1.65,-2.35
S0IV,3.10,26.00,14.30,3500.00,1.49,3.20,-1.99,1.21
S0V,0.50,0.13,0.99,3500.00,1.49,9.00,-1.99,7.01
S0VI,0.20,0.04,0.54,3500.00,1.49,10.30,-1.99,8.31
S1Ia,12.70,337000.00,1620.00,3510.00,1.49,-7.10,-1.97,-9.07
S1Ia0,15.10,2560000.00,4460.00,3510.00,1.49,-9.30,-1.97,-11.27
S1Ib,10.20,77300.00,775.00,3510.00,1.49,-5.50,-1.97,-7.47
S1II,7.80,5860.00,213.00,3510.00,1.49,-2.70,-1.97,-4.67
S1III,5.30,929.00,85.00,3510.00,1.49,-0.70,-1.97,-2.67
S1IV,2.90,35.50,18.40,3333.00,1.57,3.20,-2.33,0.87
S1V,0.50,0.06,0.77,3333.00,1.57,10.10,-2.33,7.77
S1VI,0.20,0.02,0.42,3333.00,1.57,11.40,-2.33,9.07
S2Ia,12.10,481000.00,2160.00,3320.00,1.58,-7.10,-2.36,-9.46
S2Ia0,14.50,3650000.00,5950.00,3320.00,1.58,-9.30,-2.36,-11.66
S2Ib,9.80,110000.00,1030.00,3320.00,1.58,-5.50,-2.36,-7.86
S2II,7.40,8360.00,285.00,3320.00,1.58,-2.70,-2.36,-5.06
S2III,5.10,1210.00,108.00,3320.00,1.58,-0.60,-2.36,-2.96
S2IV,2.70,50.90,24.40,3167.00,1.65,3.20,-2.72,0.48
S2V,0.40,0.03,0.61,3167.00,1.65,11.20,-2.72,8.48
S2VI,0.20,0.01,0.32,3167.00,1.65,12.60,-2.72,9.88
S3Ia,11.60,733000.00,3000.00,3130.00,1.67,-7.10,-2.81,-9.91
S3Ia0,13.80,5070000.00,7890.00,3130.00,1.67,-9.20,-2.81,-12.01
S3Ib,9.30,168000.00,1440.00,3130.00,1.67,-5.50,-2.81,-8.31
S3II,7.10,14000.00,414.00,3130.00,1.67,-2.80,-2.81,-5.61
S3III,4.80,1840.00,150.00,3130.00,1.67,-0.60,-2.81,-3.41
S3IV,2.60,77.60,33.60,3000.00,1.74,3.20,-3.18,0.02
S3V,0.30,0.02,0.51,3000.00,1.74,12.30,-3.18,9.12
S3VI,0.20,0.00,0.27,3000.00,1.74,13.70,-3.18,10.52
S4Ia,11.00,1100000.00,4180.00,2940.00,1.77,-7.00,-3.36,-10.36
S4Ia0,13.20,8380000.00,11500.00,2940.00,1.77,-9.20,-3.36,-12.56
S4Ib,8.90,277000.00,2090.00,2940.00,1.77,-5.50,-3.36,-8.86
S4II,6.70,23100.00,604.00,2940.00,1.77,-2.80,-3.36,-6.16
S4III,4.60,2770.00,209.00,2940.00,1.77,-0.50,-3.36,-3.86
S4IV,2.40,127.00,48.30,2833.00,1.83,3.20,-3.71,-0.51
S4V,0.30,0.01,0.44,2833.00,1.83,13.40,-3.71,9.69
S4VI,0.10,0.00,0.22,2833.00,1.83,14.90,-3.71,11.19
S5Ia,10.50,2020000.00,6450.00,2750.00,1.88,-7.00,-4.01,-11.01
S5Ia0,12.50,15300000.00,17800.00,2750.00,1.88,-9.20,-4.01,-13.21
S5Ib,8.40,507000.00,3230.00,2750.00,1.88,-5.50,-4.01,-9.51
S5II,6.40,46200.00,976.00,2750.00,1.88,-2.90,-4.01,-6.91
S5III,4.30,5070.00,323.00,2750.00,1.88,-0.50,-4.01,-4.51
S5IV,2.30,207.00,69.40,2667.00,1.93,3.30,-4.34,-1.04
S5V,0.20,0.01,0.38,2667.00,1.93,14.60,-4.34,10.26
S5VI,0.10,0.00,0.20,2667.00,1.93,16.00,-4.34,11.66
S6Ia,10.30,4170000.00,10700.00,2560.00,2.00,-7.00,-4.80,-11.80
S6Ia0,12.40,28800000.00,28100.00,2560.00,2.00,-9.10,-4.80,-13.90
S6Ib,8.30,955000.00,5120.00,2560.00,2.00,-5.40,-4.80,-10.20
S6II,6.30,95500.00,1620.00,2560.00,2.00,-2.90,-4.80,-7.70
S6III,4.20,9550.00,512.00,2560.00,2.00,-0.40,-4.80,-5.20
S6IV,2.20,410.00,111.00,2500.00,2.03,3.30,-5.08,-1.78
S6V,0.20,0.00,0.37,2500.00,2.03,15.70,-5.08,10.62
S6VI,0.10,0.00,0.22,2500.00,2.03,16.80,-5.08,11.72
S7Ia,10.20,9180000.00,18500.00,2370.00,2.12,-6.90,-5.76,-12.66
S7Ia0,12.30,69600000.00,51000.00,2370.00,2.12,-9.10,-5.76,-14.86
S7Ib,8.20,2100000.00,8870.00,2370.00,2.12,-5.30,-5.76,-11.06
S7II,6.20,253000.00,3070.00,2370.00,2.12,-3.00,-5.76,-8.76
S7III,4.20,21000.00,887.00,2370.00,2.12,-0.30,-5.76,-6.06
S7IV,2.10,926.00,192.00,2333.00,2.14,3.30,-5.97,-2.67
S7V,0.10,0.00,0.38,2333.00,2.14,16.80,-5.97,10.83
S7VI,0.10,0.00,0.28,2333.00,2.14,17.50,-5.97,11.53
S8Ia,10.10,27000000.00,37600.00,2180.00,2.25,-6.90,-6.93,-13.83
S8Ia0,12.10,205000000.00,103000.00,2180.00,2.25,-9.10,-6.93,-16.03
S8Ib,8.10,5150000.00,16400.00,2180.00,2.25,-5.10,-6.93,-12.03
S8II,6.10,744000.00,6230.00,2180.00,2.25,-3.00,-6.93,-9.93
S8III,4.10,51500.00,1640.00,2180.00,2.25,-0.10,-6.93,-7.03
S8IV,2.10,2440.00,361.00,2167.00,2.26,3.30,-7.02,-3.72
S8V,0.10,0.00,0.43,2167.00,2.26,17.90,-7.02,10.88
S8VI,0.10,0.00,0.36,2167.00,2.26,18.30,-7.02,11.28
S9Ia,10.00,103000000.00,87900.00,1990.00,2.40,-6.90,-8.38,-15.28
S9Ia0,12.00,711000000.00,231000.00,1990.00,2.40,-9.00,-8.38,-17.38
S9Ib,8.00,17900000.00,36700.00,1990.00,2.40,-5.00,-8.38,-13.38
S9II,6.00,2830000.00,14600.00,1990.00,2.40,-3.00,-8.38,-11.38
S9III,4.10,179000.00,3670.00,1990.00,2.40,0.00,-8.38,-8.38
S9IV,2.10,7910.00,764.00,2000.00,2.39,3.30,-8.30,-5.00
S9V,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
S9VI,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
WC0Ia,150.00,2590000.00,22.10,50000.00,-0.35,-6.70,-4.58,-11.28
WC0Ia0,160.00,34100000.00,80.20,50000.00,-0.35,-9.50,-4.58,-14.08
WC0Ib,140.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WC0II,130.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WC0III,120.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WC0IV,110.00,1360000.00,16.00,50000.00,-0.35,-6.00,-4.58,-10.58
WC0V,100.00,1240000.00,15.30,50000.00,-0.35,-5.90,-4.58,-10.48
WC0VI,60.00,940000.00,13.30,50000.00,-0.35,-5.60,-4.58,-10.18
WC1Ia,149.30,2250000.00,22.70,47600.00,-0.35,-6.70,-4.43,-11.13
WC1Ia0,159.70,27100000.00,78.80,47600.00,-0.35,-9.40,-4.43,-13.83
WC1Ib,139.00,1870000.00,20.70,47600.00,-0.35,-6.50,-4.43,-10.93
WC1II,128.60,1730000.00,19.80,47800.00,-0.35,-6.40,-4.44,-10.84
WC1III,118.20,1580000.00,18.90,47800.00,-0.35,-6.30,-4.44,-10.74
WC1IV,107.90,1090000.00,15.70,47800.00,-0.35,-5.90,-4.44,-10.34
WC1V,97.50,994000.00,15.00,47800.00,-0.35,-5.80,-4.44,-10.24
WC1VI,37.00,754000.00,13.10,47800.00,-0.35,-5.50,-4.44,-9.94
WC2Ia,148.60,2140000.00,24.60,45200.00,-0.35,-6.80,-4.28,-11.08
WC2Ia0,159.40,21400000.00,77.70,45200.00,-0.35,-9.30,-4.28,-13.58
WC2Ib,137.90,1620000.00,21.40,45200.00,-0.35,-6.50,-4.28,-10.78
WC2II,127.20,1520000.00,20.30,45600.00,-0.35,-6.40,-4.30,-10.70
WC2III,116.50,1260000.00,18.50,45600.00,-0.35,-6.20,-4.30,-10.50
WC2IV,105.70,872000.00,15.40,45600.00,-0.35,-5.80,-4.30,-10.10
WC2V,95.00,795000.00,14.70,45600.00,-0.35,-5.70,-4.30,-10.00
WC2VI,30.00,603000.00,12.80,45600.00,-0.35,-5.40,-4.30,-9.70
WC3Ia,148.00,1850000.00,25.50,42800.00,-0.34,-6.80,-4.12,-10.92
WC3Ia0,159.00,16800000.00,76.90,42800.00,-0.34,-9.20,-4.12,-13.32
WC3Ib,136.90,1400000.00,22.20,42800.00,-0.34,-6.50,-4.12,-10.62
WC3II,125.80,1210000.00,20.00,43400.00,-0.34,-6.30,-4.16,-10.46
WC3III,114.70,917000.00,17.50,43400.00,-0.34,-6.00,-4.16,-10.16
WC3IV,103.60,696000.00,15.20,43400.00,-0.34,-5.70,-4.16,-9.86
WC3V,92.50,634000.00,14.50,43400.00,-0.34,-5.60,-4.16,-9.76
WC3VI,23.00,481000.00,12.60,43400.00,-0.34,-5.30,-4.16,-9.46
WC4Ia,147.30,1740000.00,27.70,40400.00,-0.33,-6.90,-3.95,-10.85
WC4Ia0,158.70,13200000.00,76.40,40400.00,-0.33,-9.10,-3.95,-13.05
WC4Ib,135.80,1200000.00,23.10,40400.00,-0.33,-6.50,-3.95,-10.45
WC4II,124.40,960000.00,19.80,41200.00,-0.34,-6.20,-4.01,-10.21
WC4III,112.90,728000.00,17.30,41200.00,-0.34,-5.90,-4.01,-9.91
WC4IV,101.50,552000.00,15.00,41200.00,-0.34,-5.60,-4.01,-9.61
WC4V,90.00,504000.00,14.40,41200.00,-0.34,-5.50,-4.01,-9.51
WC4VI,20.00,382000.00,12.50,41200.00,-0.34,-5.20,-4.01,-9.21
WC5Ia,142.00,1480000.00,29.00,38000.00,-0.33,-6.90,-3.78,-10.68
WC5Ia0,158.40,10300000.00,76.20,38000.00,-0.33,-9.00,-3.78,-12.78
WC5Ib,125.60,1030000.00,24.10,38000.00,-0.33,-6.50,-3.78,-10.28
WC5II,109.20,759000.00,19.70,39000.00,-0.33,-6.10,-3.85,-9.95
WC5III,92.80,525000.00,16.40,39000.00,-0.33,-5.70,-3.85,-9.55
WC5IV,76.40,437000.00,14.90,39000.00,-0.33,-5.50,-3.85,-9.35
WC5V,60.00,398000.00,14.20,39000.00,-0.33,-5.40,-3.85,-9.25
WC5VI,17.50,302000.00,12.40,39000.00,-0.33,-5.10,-3.85,-8.95
WC6Ia,120.10,1360000.00,31.90,35400.00,-0.32,-7.00,-3.58,-10.58
WC6Ia0,136.70,7810000.00,76.60,35400.00,-0.32,-8.90,-3.58,-12.48
WC6Ib,103.50,781000.00,24.20,35400.00,-0.32,-6.40,-3.58,-9.98
WC6II,86.90,654000.00,20.50,36800.00,-0.32,-6.10,-3.69,-9.79
WC6III,70.20,376000.00,15.60,36800.00,-0.32,-5.50,-3.69,-9.19
WC6IV,53.60,313000.00,14.20,36800.00,-0.32,-5.30,-3.69,-8.99
WC6V,37.00,260000.00,12.90,36800.00,-0.32,-5.10,-3.69,-8.79
WC6VI,14.20,180000.00,10.80,36800.00,-0.32,-4.70,-3.69,-8.39
WC7Ia,100.90,1120000.00,33.80,32800.00,-0.31,-7.00,-3.37,-10.37
WC7Ia0,115.10,5880000.00,77.40,32800.00,-0.31,-8.80,-3.37,-12.17
WC7Ib,86.70,588000.00,24.50,32800.00,-0.31,-6.30,-3.37,-9.67
WC7II,72.50,510000.00,20.50,34600.00,-0.32,-6.00,-3.52,-9.52
WC7III,58.40,294000.00,15.50,34600.00,-0.32,-5.40,-3.52,-8.92
WC7IV,44.20,223000.00,13.50,34600.00,-0.32,-5.10,-3.52,-8.62
WC7V,30.00,154000.00,11.30,34600.00,-0.32,-4.70,-3.52,-8.22
WC7VI,10.90,107000.00,9.36,34600.00,-0.32,-4.30,-3.52,-7.82
WC8Ia,81.70,913000.00,36.00,30200.00,-0.30,-7.00,-3.15,-10.15
WC8Ia0,93.40,4370000.00,78.70,30200.00,-0.30,-8.70,-3.15,-11.85
WC8Ib,69.90,437000.00,24.90,30200.00,-0.30,-6.20,-3.15,-9.35
WC8II,58.20,360000.00,19.60,32400.00,-0.31,-5.80,-3.34,-9.14
WC8III,46.50,207000.00,14.90,32400.00,-0.31,-5.20,-3.34,-8.54
WC8IV,34.70,157000.00,13.00,32400.00,-0.31,-4.90,-3.34,-8.24
WC8V,23.00,99100.00,10.30,32400.00,-0.31,-4.40,-3.34,-7.74
WC8VI,7.60,57000.00,7.81,32400.00,-0.31,-3.80,-3.34,-7.14
WC9Ia,63.10,731000.00,38.50,27600.00,-0.29,-7.00,-2.91,-9.91
WC9Ia0,71.80,3190000.00,80.50,27600.00,-0.29,-8.60,-2.91,-11.51
WC9Ib,54.50,319000.00,25.50,27600.00,-0.29,-6.10,-2.91,-9.01
WC9II,45.90,276000.00,19.80,30200.00,-0.30,-5.70,-3.15,-8.85
WC9III,37.30,159000.00,15.00,30200.00,-0.30,-5.10,-3.15,-8.25
WC9IV,28.60,110000.00,12.50,30200.00,-0.30,-4.70,-3.15,-7.85
WC9V,20.00,57600.00,9.04,30200.00,-0.30,-4.00,-3.15,-7.15
WC9VI,6.70,33100.00,6.85,30200.00,-0.30,-3.40,-3.15,-6.55
WN0Ia,150.00,2590000.00,22.10,50000.00,-0.35,-6.70,-4.58,-11.28
WN0Ia0,160.00,34100000.00,80.20,50000.00,-0.35,-9.50,-4.58,-14.08
WN0Ib,140.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WN0II,130.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WN0III,120.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WN0IV,110.00,1360000.00,16.00,50000.00,-0.35,-6.00,-4.58,-10.58
WN0V,100.00,1240000.00,15.30,50000.00,-0.35,-5.90,-4.58,-10.48
WN0VI,60.00,940000.00,13.30,50000.00,-0.35,-5.60,-4.58,-10.18
WN1Ia,149.30,2250000.00,22.70,47600.00,-0.35,-6.70,-4.43,-11.13
WN1Ia0,159.70,27100000.00,78.80,47600.00,-0.35,-9.40,-4.43,-13.83
WN1Ib,139.00,1870000.00,20.70,47600.00,-0.35,-6.50,-4.43,-10.93
WN1II,128.60,1730000.00,19.80,47800.00,-0.35,-6.40,-4.44,-10.84
WN1III,118.20,1580000.00,18.90,47800.00,-0.35,-6.30,-4.44,-10.74
WN1IV,107.90,1090000.00,15.70,47800.00,-0.35,-5.90,-4.44,-10.34
WN1V,97.50,994000.00,15.00,47800.00,-0.35,-5.80,-4.44,-10.24
WN1VI,37.00,754000.00,13.10,47800.00,-0.35,-5.50,-4.44,-9.94
WN2Ia,148.60,2140000.00,24.60,45200.00,-0.35,-6.80,-4.28,-11.08
WN2Ia0,159.40,21400000.00,77.70,45200.00,-0.35,-9.30,-4.28,-13.58
WN2Ib,137.90,1620000.00,21.40,45200.00,-0.35,-6.50,-4.28,-10.78
WN2II,127.20,1520000.00,20.30,45600.00,-0.35,-6.40,-4.30,-10.70
WN2III,116.50,1260000.00,18.50,45600.00,-0.35,-6.20,-4.30,-10.50
WN2IV,105.70,872000.00,15.40,45600.00,-0.35,-5.80,-4.30,-10.10
WN2V,95.00,795000.00,14.70,45600.00,-0.35,-5.70,-4.30,-10.00
WN2VI,30.00,603000.00,12.80,45600.00,-0.35,-5.40,-4.30,-9.70
WN3Ia,148.00,1850000.00,25.50,42800.00,-0.34,-6.80,-4.12,-10.92
WN3Ia0,159.00,16800000.00,76.90,42800.00,-0.34,-9.20,-4.12,-13.32
WN3Ib,136.90,1400000.00,22.20,42800.00,-0.34,-6.50,-4.12,-10.62
WN3II,125.80,1210000.00,20.00,43400.00,-0.34,-6.30,-4.16,-10.46
WN3III,114.70,917000.00,17.50,43400.00,-0.34,-6.00,-4.16,-10.16
WN3IV,103.60,696000.00,15.20,43400.00,-0.34,-5.70,-4.16,-9.86
WN3V,92.50,634000.00,14.50,43400.00,-0.34,-5.60,-4.16,-9.76
WN3VI,23.00,481000.00,12.60,43400.00,-0.34,-5.30,-4.16,-9.46
WN4Ia,147.30,1740000.00,27.70,40400.00,-0.33,-6.90,-3.95,-10.85
WN4Ia0,158.70,13200000.00,76.40,40400.00,-0.33,-9.10,-3.95,-13.05
WN4Ib,135.80,1200000.00,23.10,40400.00,-0.33,-6.50,-3.95,-10.45
WN4II,124.40,960000.00,19.80,41200.00,-0.34,-6.20,-4.01,-10.21
WN4III,112.90,728000.00,17.30,41200.00,-0.34,-5.90,-4.01,-9.91
WN4IV,101.50,552000.00,15.00,41200.00,-0.34,-5.60,-4.01,-9.61
WN4V,90.00,504000.00,14.40,41200.00,-0.34,-5.50,-4.01,-9.51
WN4VI,20.00,382000.00,12.50,41200.00,-0.34,-5.20,-4.01,-9.21
WN5Ia,142.00,1480000.00,29.00,38000.00,-0.33,-6.90,-3.78,-10.68
WN5Ia0,158.40,10300000.00,76.20,38000.00,-0.33,-9.00,-3.78,-12.78
WN5Ib,125.60,1030000.00,24.10,38000.00,-0.33,-6.50,-3.78,-10.28
WN5II,109.20,759000.00,19.70,39000.00,-0.33,-6.10,-3.85,-9.95
WN5III,92.80,525000.00,16.40,39000.00,-0.33,-5.70,-3.85,-9.55
WN5IV,76.40,437000.00,14.90,39000.00,-0.33,-5.50,-3.85,-9.35
WN5V,60.00,398000.00,14.20,39000.00,-0.33,-5.40,-3.85,-9.25
WN5VI,17.50,302000.00,12.40,39000.00,-0.33,-5.10,-3.85,-8.95
WN6Ia,120.10,1360000.00,31.90,35400.00,-0.32,-7.00,-3.58,-10.58
WN6Ia0,136.70,7810000.00,76.60,35400.00,-0.32,-8.90,-3.58,-12.48
WN6Ib,103.50,781000.00,24.20,35400.00,-0.32,-6.40,-3.58,-9.98
WN6II,86.90,654000.00,20.50,36800.00,-0.32,-6.10,-3.69,-9.79
WN6III,70.20,376000.00,15.60,36800.00,-0.32,-5.50,-3.69,-9.19
WN6IV,53.60,313000.00,14.20,36800.00,-0.32,-5.30,-3.69,-8.99
WN6V,37.00,260000.00,12.90,36800.00,-0.32,-5.10,-3.69,-8.79
WN6VI,14.20,180000.00,10.80,36800.00,-0.32,-4.70,-3.69,-8.39
WN7Ia,100.90,1120000.00,33.80,32800.00,-0.31,-7.00,-3.37,-10.37
WN7Ia0,115.10,5880000.00,77.40,32800.00,-0.31,-8.80,-3.37,-12.17
WN7Ib,86.70,588000.00,24.50,32800.00,-0.31,-6.30,-3.37,-9.67
WN7II,72.50,510000.00,20.50,34600.00,-0.32,-6.00,-3.52,-9.52
WN7III,58.40,294000.00,15.50,34600.00,-0.32,-5.40,-3.52,-8.92
WN7IV,44.20,223000.00,13.50,34600.00,-0.32,-5.10,-3.52,-8.62
WN7V,30.00,154000.00,11.30,34600.00,-0.32,-4.70,-3.52,-8.22
WN7VI,10.90,107000.00,9.36,34600.00,-0.32,-4.30,-3.52,-7.82
WN8Ia,81.70,913000.00,36.00,30200.00,-0.30,-7.00,-3.15,-10.15
WN8Ia0,93.40,4370000.00,78.70,30200.00,-0.30,-8.70,-3.15,-11.85
WN8Ib,69.90,437000.00,24.90,30200.00,-0.30,-6.20,-3.15,-9.35
WN8II,58.20,360000.00,19.60,32400.00,-0.31,-5.80,-3.34,-9.14
WN8III,46.50,207000.00,14.90,32400.00,-0.31,-5.20,-3.34,-8.54
WN8IV,34.70,157000.00,13.00,32400.00,-0.31,-4.90,-3.34,-8.24
WN8V,23.00,99100.00,10.30,32400.00,-0.31,-4.40,-3.34,-7.74
WN8VI,7.60,57000.00,7.81,32400.00,-0.31,-3.80,-3.34,-7.14
WN9Ia,63.10,731000.00,38.50,27600.00,-0.29,-7.00,-2.91,-9.91
WN9Ia0,71.80,3190000.00,80.50,27600.00,-0.29,-8.60,-2.91,-11.51
WN9Ib,54.50,319000.00,25.50,27600.00,-0.29,-6.10,-2.91,-9.01
WN9II,45.90,276000.00,19.80,30200.00,-0.30,-5.70,-3.15,-8.85
WN9III,37.30,159000.00,15.00,30200.00,-0.30,-5.10,-3.15,-8.25
WN9IV,28.60,110000.00,12.50,30200.00,-0.30,-4.70,-3.15,-7.85
WN9V,20.00,57600.00,9.04,30200.00,-0.30,-4.00,-3.15,-7.15
WN9VI,6.70,33100.00,6.85,30200.00,-0.30,-3.40,-3.15,-6.55
